id,position,category,company,city,salary_min,salary_max,education,experience,publish_date,source,description,is_active
170,空域管理系统工程师,安全监管类,联合飞机,南京,19,47,硕士,5-10年,2026-02-17,拉勾,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
171,空域管理系统工程师,安全监管类,小鹏汇天,长沙,20,45,本科,3-5年,2026-01-22,企业官网,负责低空空域管理系统架构设计与开发，涵盖飞行计划管理、动态空域分配等,True
172,遥感数据处理工程师,数据应用类,顺丰丰翼,苏州,18,43,博士,1-3年,2026-04-18,猎聘,参与遥感数据产品开发，支撑低空经济应用场景,True
173,遥感数据处理工程师,数据应用类,顺丰丰翼,西安,18,40,博士,3-5年,2026-03-07,拉勾,开发遥感数据自动化处理流程，提升数据处理效率与精度,True
174,遥感数据处理工程师,数据应用类,迅蚁科技,广州,18,44,本科,5-10年,2026-02-20,拉勾,开发遥感数据自动化处理流程，提升数据处理效率与精度,True
175,遥感数据处理工程师,数据应用类,迅蚁科技,北京,19,44,硕士,5-10年,2026-02-02,猎聘,开发遥感数据自动化处理流程，提升数据处理效率与精度,True
176,遥感数据处理工程师,数据应用类,华羽先翔,合肥,16,41,硕士,3-5年,2026-02-02,企业官网,参与遥感数据产品开发，支撑低空经济应用场景,True
177,空域数字孪生工程师,数据应用类,华羽先翔,合肥,23,53,博士,5-10年,2026-01-05,拉勾,负责低空空域数字孪生平台建设，构建高精度三维空域模型,True
178,空域数字孪生工程师,数据应用类,中航无人机,上海,25,59,博士,1-3年,2026-03-20,Boss直聘,开发数字孪生仿真引擎，支撑飞行仿真与空域规划,True
179,空域数字孪生工程师,数据应用类,时的科技,广州,25,58,博士,3-5年,2026-01-19,猎聘,开发数字孪生仿真引擎，支撑飞行仿真与空域规划,False
180,空域数字孪生工程师,数据应用类,华羽先翔,成都,25,58,博士,3-5年,2026-03-19,猎聘,开发数字孪生仿真引擎，支撑飞行仿真与空域规划,False
181,空域数字孪生工程师,数据应用类,御风未来,苏州,27,57,博士,3-5年,2026-02-15,企业官网,融合多源数据（气象、地形、飞行轨迹等），实现空域动态映射,True
182,低空大数据分析师,数据应用类,纵横股份,上海,20,49,本科,1-3年,2026-01-05,Boss直聘,参与数据仓库建设与数据治理,True
183,低空大数据分析师,数据应用类,纵横股份,苏州,20,54,硕士,3-5年,2026-03-16,拉勾,负责低空经济领域大数据分析，挖掘飞行数据、运营数据中的商业价值,True
184,低空大数据分析师,数据应用类,联合飞机,广州,19,50,本科,1-3年,2026-03-25,拉勾,负责低空经济领域大数据分析，挖掘飞行数据、运营数据中的商业价值,True
185,低空大数据分析师,数据应用类,亿维特,南京,22,54,硕士,5-10年,2026-01-19,Boss直聘,参与数据仓库建设与数据治理,True
186,低空大数据分析师,数据应用类,亿航智能,苏州,19,53,硕士,1-3年,2026-03-25,Boss直聘,负责低空经济领域大数据分析，挖掘飞行数据、运营数据中的商业价值,True
187,低空AI训练师,数据应用类,亿维特,北京,31,69,本科,3-5年,2026-01-03,企业官网,参与AI模型部署与效果验证，持续迭代优化,True
188,低空AI训练师,数据应用类,纵横股份,苏州,31,63,本科,3-5年,2026-04-13,拉勾,参与AI模型部署与效果验证，持续迭代优化,True
189,低空AI训练师,数据应用类,零重空间,长沙,31,64,博士,3-5年,2026-03-09,Boss直聘,构建与标注训练数据集，设计训练评估指标,True
190,低空AI训练师,数据应用类,中航无人机,上海,28,67,硕士,3-5年,2026-03-19,Boss直聘,参与AI模型部署与效果验证，持续迭代优化,True
191,低空AI训练师,数据应用类,联合飞机,南京,30,69,本科,5-10年,2026-04-19,猎聘,参与AI模型部署与效果验证，持续迭代优化,True
192,低空AI训练师,数据应用类,峰飞航空,合肥,30,64,硕士,1-3年,2026-03-11,企业官网,参与AI模型部署与效果验证，持续迭代优化,True
193,低空AI训练师,数据应用类,沃兰特,上海,30,65,硕士,1-3年,2026-02-22,拉勾,负责低空领域AI模型训练与优化，包括目标检测、路径规划、行为预测等,True
194,低空AI训练师,数据应用类,亿维特,广州,30,63,本科,3-5年,2026-03-20,Boss直聘,参与AI模型部署与效果验证，持续迭代优化,True
195,低空AI训练师,数据应用类,纵横股份,广州,31,66,博士,1-3年,2026-01-24,猎聘,参与AI模型部署与效果验证，持续迭代优化,True
196,低空AI训练师,数据应用类,峰飞航空,苏州,29,65,硕士,3-5年,2026-02-12,拉勾,构建与标注训练数据集，设计训练评估指标,True
197,无人机驾驶培训师,操控培训类,御风未来,苏州,8,24,本科,3-5年,2026-01-09,猎聘,负责无人机驾驶员培训课程设计与教学，包括理论教学与实践飞行指导,True
198,无人机驾驶培训师,操控培训类,亿维特,南京,8,26,本科,3-5年,2026-02-19,Boss直聘,参与培训教材编写与课程体系优化,True
199,无人机驾驶培训师,操控培训类,时的科技,南京,9,29,大专,1-3年,2026-01-07,拉勾,负责无人机驾驶员培训课程设计与教学，包括理论教学与实践飞行指导,True
200,无人机驾驶培训师,操控培训类,大疆创新,北京,11,23,本科,1-3年,2026-02-25,拉勾,持有无人机驾驶教员资质，制定培训考核标准,True
201,无人机驾驶培训师,操控培训类,纵横股份,长沙,10,29,本科,3-5年,2026-02-23,企业官网,负责无人机驾驶员培训课程设计与教学，包括理论教学与实践飞行指导,True
202,无人机驾驶培训师,操控培训类,天翎科,合肥,10,27,本科,3-5年,2026-03-22,Boss直聘,持有无人机驾驶教员资质，制定培训考核标准,True
203,无人机驾驶培训师,操控培训类,天翎科,深圳,12,26,本科,5-10年,2026-04-30,猎聘,持有无人机驾驶教员资质，制定培训考核标准,True
204,低空安全操作考评员,操控培训类,航天时代飞鹏,成都,12,28,大专,3-5年,2026-04-05,企业官网,负责低空安全操作考核标准制定与考评执行,True
205,低空安全操作考评员,操控培训类,沃兰特,北京,14,28,大专,3-5年,2026-04-06,Boss直聘,组织安全操作培训与应急演练，评估操作人员安全能力,True
206,低空安全操作考评员,操控培训类,小鹏汇天,广州,11,27,本科,3-5年,2026-01-21,Boss直聘,参与低空安全操作规范编制与修订,False
207,低空安全操作考评员,操控培训类,时的科技,成都,11,28,本科,1-3年,2026-04-07,拉勾,参与低空安全操作规范编制与修订,True
208,低空安全操作考评员,操控培训类,中航无人机,南京,14,27,本科,5-10年,2026-02-24,Boss直聘,负责低空安全操作考核标准制定与考评执行,True
209,低空安全操作考评员,操控培训类,中航无人机,西安,13,29,本科,5-10年,2026-01-13,拉勾,参与低空安全操作规范编制与修订,True
210,低空安全操作考评员,操控培训类,美团无人机,苏州,10,31,本科,3-5年,2026-04-29,猎聘,负责低空安全操作考核标准制定与考评执行,False
